ObservableProperty,Procedure Identifier,Result Type,Unit specified with procedure,Collection 1,Notation,Part of soil/fraction
Concentration of Nitrogen ,http://anzsoil.org/def/au/scm/7A3,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrogen ,http://anzsoil.org/def/au/scm/7A4,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrogen ,http://anzsoil.org/def/au/scm/7A5,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrogen ,http://anzsoil.org/def/au/scm/7A6a,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrogen ,http://anzsoil.org/def/au/scm/7A6b,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrate ,http://anzsoil.org/def/au/scm/7B1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrate ,http://anzsoil.org/def/au/scm/7B1a,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrate ,http://anzsoil.org/def/au/scm/7B1b,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrate ,http://anzsoil.org/def/au/scm/7B2,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Ammonium ,http://anzsoil.org/def/au/scm/7C1a,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Ammonium and Nitrite ,http://anzsoil.org/def/au/scm/7C1a,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrate and Nitrite ,http://anzsoil.org/def/au/scm/7C1b,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
"Concentration of Ammonium, Nitrate and Nitrite ",http://anzsoil.org/def/au/scm/7C1c,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Ammonium and Nitrate ,http://anzsoil.org/def/au/scm/7C1d,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrate ,http://anzsoil.org/def/au/scm/7C1e,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrate ,http://anzsoil.org/def/au/scm/7C1f,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Ammonium and Nitrate ,http://anzsoil.org/def/au/scm/7C1g,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nitrite ,http://anzsoil.org/def/au/scm/7C1h,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
"Concentration of Ammonium, Nitrate and Nitrite ",http://anzsoil.org/def/au/scm/7C2,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
"Concentration of Ammonium, Nitrate and Nitrite ",http://anzsoil.org/def/au/scm/7C2a,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Ammonium and Nitrate ,http://anzsoil.org/def/au/scm/7C2a,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
"Concentration of Ammonium, Nitrate and Nitrite ",http://anzsoil.org/def/au/scm/7C2b,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Ammonium and Nitrate ,http://anzsoil.org/def/au/scm/7C2b,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
