ObservableProperty,Procedure Identifier,Result Type,Unit specified with procedure,Collection 1,Notation,Part of soil/fraction
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15B3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15B3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15B3,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15C1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15C1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15C1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15C1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15C1,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15C2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15C2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15C2,number,CentiMOL-PER-KiloGM,Chemical, CEC,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15D1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15D1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15D1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15D1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15D1,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15D2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15D2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15D2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15D2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15D2,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15D3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15D3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15D3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15D3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15D3,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15E1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15E1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15E1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15E1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15E1,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
  Anion Exchange Capacity,http://anzsoil.org/def/au/scm/15E1,number,CentiMOL-PER-KiloGM,Chemical,AEC,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15E2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15E2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15E2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15E2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15E2,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
  Anion Exchange Capacity,http://anzsoil.org/def/au/scm/15E2,number,CentiMOL-PER-KiloGM,Chemical,AEC,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15E3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15E3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15E3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15E3,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15E3,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
  Anion Exchange Capacity,http://anzsoil.org/def/au/scm/15E3,number,CentiMOL-PER-KiloGM,Chemical,AEC,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15F1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15F1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15F1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15F1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15F1,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/15F1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/15F1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/15F1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/15F1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Aluminium ,http://anzsoil.org/def/au/scm/15F2,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15F3,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
Concetration of  ,http://anzsoil.org/def/au/scm/15G1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concetration of  ,http://anzsoil.org/def/au/scm/15H1,number,CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15I1,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15I2,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15I3,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15I4,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
  Effective Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15J1,number,CentiMOL-PER-KiloGM,Chemical,ECEC,fine soil fraction (<2mm)
  Cation Exchange Capacity,http://anzsoil.org/def/au/scm/15K1,number,CentiMOL-PER-KiloGM,Chemical,CEC,fine soil fraction (<2mm)
  Base saturation percentage,http://anzsoil.org/def/au/scm/15L1,number,PERCENT,Chemical,BSP,fine soil fraction (<2mm)
Concentration ratio of  Calcium to Magnesium,http://anzsoil.org/def/au/scm/15M1,number,0,Chemical,0,fine soil fraction (<2mm)
Concentration ratio of  Potassium to Magnesium,http://anzsoil.org/def/au/scm/15M1,number,0,Chemical,0,fine soil fraction (<2mm)
Concentration ratio of  Potassium to Sodium,http://anzsoil.org/def/au/scm/15M1,number,0,Chemical,0,fine soil fraction (<2mm)
  Exchangeable sodium percentage,http://anzsoil.org/def/au/scm/15N1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
  Aluminium saturation,http://anzsoil.org/def/au/scm/15O1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
  Lime (CaCO3) requirement,http://anzsoil.org/def/au/scm/16A1,number,KiloGM-PER-HA,Chemical,0,fine soil fraction (<2mm)
  Lime (CaCO3) requirement,http://anzsoil.org/def/au/scm/16B1,number,KiloGM-PER-HA,Chemical,0,fine soil fraction (<2mm)
  Lime (CaCO3) requirement,http://anzsoil.org/def/au/scm/16C1,number,TONNE-PER-HA,Chemical,0,fine soil fraction (<2mm)
  Lime (CaCO3) requirement,http://anzsoil.org/def/au/scm/16D1,number,TONNE-PER-HA,Chemical,0,fine soil fraction (<2mm)
Concentration of Aluminium ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Arsenic ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Cobalt ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Chromium ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Copper ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Iron ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Manganese ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nickel ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Lead ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Silicon ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Strontium ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Titanium ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Vanadium  ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Zinc ,http://anzsoil.org/def/au/scm/17A1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Aluminium ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Arsenic ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Cobalt ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Chromium ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Copper ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Iron ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Manganese ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nickel ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Lead ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Silicon ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Strontium ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Titanium ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Vanadium ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Zinc ,http://anzsoil.org/def/au/scm/17A2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Aluminium ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Cadmium ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Cobalt ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Chromium ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Copper ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Iron ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Manganese ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Molybdenum ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nickel ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Lead ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfur ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Zinc ,http://anzsoil.org/def/au/scm/17B1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Aluminium ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Cadmium ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Cobalt ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Chromium ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Copper ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Iron ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Manganese ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Molybdenum ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nickel ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Lead ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfur ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Zinc ,http://anzsoil.org/def/au/scm/17B2,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Aluminium ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Cadmium ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Cobalt ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Chromium ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Copper ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Iron ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Manganese ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Molybdenum ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Nickel ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Lead ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfur ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Zinc ,http://anzsoil.org/def/au/scm/17C1,number,PERCENT or MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/18A1,number,MilliGM-PER-KiloGM or CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/18B1,number,MilliGM-PER-KiloGM or CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/18C1,number,MilliGM-PER-KiloGM or CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Cadmium ,http://anzsoil.org/def/au/scm/18D1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Cadmium ,http://anzsoil.org/def/au/scm/18E1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/18F1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/18F1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Magnesium ,http://anzsoil.org/def/au/scm/18F1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sodium ,http://anzsoil.org/def/au/scm/18F1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Potassium ,http://anzsoil.org/def/au/scm/18F1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Iron ,http://anzsoil.org/def/au/scm/18F1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Copper ,http://anzsoil.org/def/au/scm/18F1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Manganese ,http://anzsoil.org/def/au/scm/18F1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Zinc ,http://anzsoil.org/def/au/scm/18F1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Boron ,http://anzsoil.org/def/au/scm/18F1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfur ,http://anzsoil.org/def/au/scm/18F1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Aluminium ,http://anzsoil.org/def/au/scm/18F1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Phosphorus ,http://anzsoil.org/def/au/scm/18F2,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of  reverse soil Potassium (K+),http://anzsoil.org/def/au/scm/18G1,number,MilliGM-PER-KiloGM or CentiMOL-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Calcium Carbonate ,http://anzsoil.org/def/au/scm/19A1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Calcium Carbonate ,http://anzsoil.org/def/au/scm/19B1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Dolomite ,http://anzsoil.org/def/au/scm/19B1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Calcium Carbonate ,http://anzsoil.org/def/au/scm/19B2,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Presence or absence of Carbonates ,http://anzsoil.org/def/au/scm/19C1,code - presence/absence,0,Chemical,0,bedrock fragment
Presence or absence of Carbonates ,http://anzsoil.org/def/au/scm/19C1,code - presence/absence,0,Chemical,0,"Carbonate concretions > nodules, threads and masses"
Presence or absence of Carbonates ,http://anzsoil.org/def/au/scm/19C1,code - presence/absence,0,Chemical,0,fine soil fraction (<2mm)
Concentration of Carbonates ,http://anzsoil.org/def/au/scm/19D1,code or number (from table 19.4 AND OR percentage rather than percentrage range code) https://raw.githack.com/ANZSoilData/def-au-scma/master/html/19-alkaline-earth-carbonates/19D1.html,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfur ,http://anzsoil.org/def/au/scm/20A1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
  Titratable actual acidity,http://anzsoil.org/def/au/scm/20B1,number,MOL-PER-TONNE,Chemical,TAA,fine soil fraction (<2mm)
  Titratable peroxide acidity,http://anzsoil.org/def/au/scm/20C1,number,MOL-PER-TONNE,Chemical,TPA,fine soil fraction (<2mm)
  Net (excess) Acid Neutralising Capacity,http://anzsoil.org/def/au/scm/20C1,number,MOL-PER-TONNE,Chemical,a-ANC E,fine soil fraction (<2mm)
Concentration of Sulfur ,http://anzsoil.org/def/au/scm/20D1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/20D1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
